Ticker,1D_Price,1D_MACD_Black,1D_MACD_Red,1D_RSI_2,1D_RSI_14,1D_Stoch_K_Black,1D_Stoch_D_Red,1D_NVI_Black,1D_NVI_Red,15m_Price,15m_MACD_Black,15m_MACD_Red,15m_RSI_2,15m_RSI_14,15m_Stoch_K_Black,15m_Stoch_D_Red,15m_NVI_Black,15m_NVI_Red
APARINDS.NS,11266.5,379.26,243.75,78.46,65.92,82.12,86.98,34.89,40.1,11275.0,0.42,0.56,93.22,52.65,73.65,58.51,92.36,94.17
APOLLOHOSP.NS,7553.0,8.97,-12.81,45.64,53.64,88.98,94.01,87.8,93.81,7555.0,-16.04,-20.12,59.03,45.68,86.85,84.39,97.94,98.44
APOLLOTYRE.NS,443.65,-1.27,-6.87,81.55,56.57,94.15,93.07,50.63,64.5,443.9,0.8,0.28,56.63,63.99,91.16,96.09,91.75,93.47
APTUS.NS,246.86,-0.45,-6.48,99.84,67.58,100.0,100.0,44.93,56.39,248.01,3.03,3.32,90.98,81.07,67.94,54.58,94.57,92.9
ASAHIINDIA.NS,849.9,-8.73,-16.45,56.59,50.02,73.81,80.35,26.25,38.54,849.9,0.91,1.45,66.35,53.08,22.46,15.56,93.29,93.0
ASHOKLEY.NS,176.73,-3.65,-6.87,73.55,52.47,91.12,92.02,85.05,81.62,176.72,0.15,0.09,28.27,54.09,72.64,83.44,97.68,95.7
ASIANPAINT.NS,2440.3,15.8,-20.12,95.49,63.42,99.07,98.51,74.38,81.19,2440.3,5.13,5.37,54.71,58.5,74.89,68.6,100.57,98.62
ASTERDM.NS,674.35,10.26,9.9,45.46,55.3,58.19,63.76,31.73,35.27,675.7,-0.86,-0.55,55.56,44.56,45.18,32.16,95.02,95.34
ASTRAL.NS,1578.7,-5.45,-6.68,20.41,47.51,83.11,86.87,59.54,73.99,1578.7,-7.06,-11.78,78.53,52.76,95.95,97.54,98.07,98.45
ATUL.NS,6598.5,39.88,3.24,82.65,58.95,85.29,84.84,61.5,74.44,6600.0,16.48,19.87,70.46,59.93,45.62,53.59,97.54,98.45
AUROPHARMA.NS,1386.5,33.63,30.94,92.33,70.28,84.89,81.59,53.29,57.83,1387.0,3.82,2.79,99.07,74.24,100.0,97.73,106.24,104.12
AIIL.NS,448.25,-12.29,-13.18,76.69,47.9,37.29,32.84,43.91,69.38,446.15,0.52,0.49,34.48,50.51,59.44,64.53,77.14,79.77
DMART.NS,4428.3,162.78,131.14,36.9,65.57,73.25,75.1,75.19,79.61,4436.5,-5.77,-9.03,99.03,54.53,100.0,95.57,104.23,104.11
AXISBANK.NS,1349.6,16.65,-3.75,56.23,61.39,98.61,98.66,100.39,106.53,1348.0,-0.59,-0.98,16.5,45.07,51.28,70.61,111.02,108.86
BEML.NS,1740.0,16.59,-19.49,99.87,65.09,100.0,100.0,24.35,32.16,1744.0,9.44,8.91,99.43,69.87,100.0,84.07,92.99,93.68
BLS.NS,298.55,8.4,3.04,84.38,61.95,87.39,86.18,12.76,20.96,300.01,0.93,1.12,93.25,65.72,40.23,18.79,86.06,88.96
BSE.NS,3446.7,142.64,82.2,99.42,71.94,100.0,100.0,68.72,75.97,3444.0,7.86,7.58,39.65,58.55,90.93,90.58,91.79,92.31
BAJAJ-AUTO.NS,9825.0,94.91,-35.42,67.57,61.73,98.32,99.44,84.72,89.73,9825.0,-4.58,-10.43,46.59,51.74,87.72,84.27,103.26,101.7
BAJFINANCE.NS,905.9,-4.2,-16.51,45.31,52.49,87.0,90.64,121.19,124.51,905.9,-2.69,-1.9,12.34,35.35,21.76,36.51,103.7,100.78
BAJAJFINSV.NS,1829.9,-17.13,-43.61,83.19,55.35,97.16,96.36,103.07,99.28,1829.9,0.57,1.42,19.49,48.15,53.78,59.83,103.55,101.17
BAJAJHLDNG.NS,10205.0,-72.33,-232.89,87.89,57.25,96.91,96.51,50.48,63.78,10220.0,26.69,24.71,78.77,63.23,90.67,81.62,100.51,97.91
BAJAJHFL.NS,89.2,0.64,-0.87,90.62,64.53,97.83,97.34,53.13,61.42,89.07,0.15,0.18,12.75,52.33,63.34,61.03,99.16,97.28
BALKRISIND.NS,2342.4,-4.72,-40.56,89.01,58.81,96.46,96.39,62.88,74.74,2335.0,12.21,9.7,48.06,65.69,76.9,89.29,93.31,93.06
BALRAMCHIN.NS,483.75,1.57,3.58,68.64,51.49,28.22,15.65,39.6,47.25,484.0,0.31,0.24,76.96,55.06,77.33,76.07,96.44,94.79
BANDHANBNK.NS,174.18,0.96,-1.91,92.26,60.19,98.37,98.37,61.1,69.62,174.0,0.15,0.22,22.99,49.63,66.75,69.67,98.78,95.53
BANKBARODA.NS,279.39,-3.67,-6.8,91.12,52.22,99.55,99.06,98.69,105.14,279.39,0.05,-0.09,44.25,54.48,92.31,95.75,100.45,99.47
BANKINDIA.NS,148.86,-2.93,-4.16,77.03,49.69,94.55,93.13,52.32,55.19,148.81,0.08,0.18,17.07,48.2,39.89,47.77,103.58,100.4
MAHABANK.NS,71.25,1.16,0.34,76.2,59.96,97.14,97.61,27.66,30.36,71.4,0.01,-0.05,95.33,57.82,97.22,96.9,92.35,91.62
BATAINDIA.NS,746.6,-4.19,-21.9,98.72,59.94,100.0,99.8,43.83,58.42,747.0,0.57,-0.14,89.96,60.53,92.17,89.95,93.38,93.72
